name,category,top,psf1,psf2,notes,link
ONE JERVOIS,,1/12/2020,0,2198,some notes,https://share.ecoprop.com/ONE-JERVOIS/R065963D
OPTIMA @ TANAH MERAH,,1/12/2020,1457,1392,some notes,https://share.ecoprop.com/OPTIMA-TANAH-MERAH/R065963D
ORANGE GROVE RESIDENCES,,1/12/2020,0,2287,some notes,https://share.ecoprop.com/ORANGE-GROVE-RESIDENCES/R065963D
ORCHID PARK CONDOMINIUM,,1/12/2020,0,894,some notes,https://share.ecoprop.com/ORCHID-PARK-CONDOMINIUM/R065963D
OUE TWIN PEAKS,,1/12/2020,2103,0,some notes,https://share.ecoprop.com/OUE-TWIN-PEAKS/R065963D
PALISADES,,1/12/2020,0,1049,some notes,https://share.ecoprop.com/PALISADES/R065963D
PALM GARDENS,,1/12/2020,0,987,some notes,https://share.ecoprop.com/PALM-GARDENS/R065963D
PALM GROVE CONDOMINIUM,,1/12/2020,1327,1429,some notes,https://share.ecoprop.com/PALM-GROVE-CONDOMINIUM/R065963D
PALM ISLES,,1/12/2020,1287,0,some notes,https://share.ecoprop.com/PALM-ISLES/R065963D
PALM SPRING,,1/12/2020,0,2000,some notes,https://share.ecoprop.com/PALM-SPRING/R065963D
PALMWOODS,,1/12/2020,0,1006,some notes,https://share.ecoprop.com/PALMWOODS/R065963D
PANDAN VALLEY,,1/12/2020,0,1441,some notes,https://share.ecoprop.com/PANDAN-VALLEY/R065963D
PARC BOTANNIA,,1/12/2020,1568,0,some notes,https://share.ecoprop.com/PARC-BOTANNIA/R065963D
PARC CENTROS,,1/12/2020,1474,1485,some notes,https://share.ecoprop.com/PARC-CENTROS/R065963D
PARC IMPERIAL,,1/12/2020,1845,0,some notes,https://share.ecoprop.com/PARC-IMPERIAL/R065963D
PARC OASIS,,1/12/2020,0,1065,some notes,https://share.ecoprop.com/PARC-OASIS/R065963D
PARC OLYMPIA,,1/12/2020,1142,1126,some notes,https://share.ecoprop.com/PARC-OLYMPIA/R065963D
PARC RIVIERA,,1/12/2020,1602,1620,some notes,https://share.ecoprop.com/PARC-RIVIERA/R065963D
PARC ROSEWOOD,,1/12/2020,1314,882,some notes,https://share.ecoprop.com/PARC-ROSEWOOD/R065963D
PARC STEVENS,,1/12/2020,0,2265,some notes,https://share.ecoprop.com/PARC-STEVENS/R065963D
